Kingdom,OrdName,FamName,GenName,Spcname,SpcInfraepithet,Spcrecid,SpcStatus,AcceptedSpcRecID
Plantae,CELASTRALES,AQUIFOLIACEAE,Ilex,matsudai,NULL,31700,S,161848
Plantae,GENTIANALES,APOCYNACEAE,Hoodia,pillansii,NULL,5611,S,161447
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,rosulatum,horombense,152948,S,8603
Plantae,GENTIANALES,APOCYNACEAE,Hoodia,albispina,NULL,5608,S,161447
Plantae,GENTIANALES,APOCYNACEAE,Hoodia,barklyi,NULL,5609,S,161447
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,ramosum,NULL,24594,S,24148
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,lamerei,lamerei,8604,S,24148
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,champenoisianum,NULL,24403,S,24148
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,baronii,erythreum,24365,A,8552
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,rosulatum,stenanthum,152949,S,8607
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,menabeum,NULL,24553,A,24148
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,brevicalyx,NULL,24385,S,24141
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,rosulatum,delphinense,24691,S,8607
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,tuberosum,loddigesii,24998,S,106037
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,giganteum,NULL,24440,S,106038
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,baronii,typicum,24369,S,8552
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,bicolor,NULL,24379,S,24736
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,jasminiflorum,NULL,24503,S,106039
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,cactipes,NULL,24386,S,24200
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,drakei,NULL,24405,S,24200
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,rutenbergianum,lamerei,24792,S,24148
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,glabrum,NULL,24451,S,106037
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,griquense,NULL,24483,S,106039
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,tomentosum,NULL,24857,S,106039
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,lamerei,typicum,24515,S,24148
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,rosulatum,typicum,24776,S,8607
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,lamerei,ramosum,8605,S,24148
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,rutenbergianum,sofiense,24847,S,8611
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,rutenbergianum,typicum,24851,S,8610
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,saundersii,NULL,5856,S,24539
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,tuberosum,NULL,24864,S,106039
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,densiflorum,brevicalyx,8557,S,24141
Plantae,GENTIANALES,APOCYNACEAE,Echites,bispinosa,NULL,29774,S,106037
Plantae,GENTIANALES,APOCYNACEAE,Echites,succulenta,NULL,29775,S,106039
Plantae,GENTIANALES,APOCYNACEAE,Pachypodium,rosulatum,drakei,8608,S,8607
Plantae,GENTIANALES,APOCYNACEAE,Adenium,namaquanum,NULL,35645,S,30348
Plantae,GENTIANALES,APOCYNACEAE,Belonites,bispinosa,NULL,29674,S,106037
Plantae,GENTIANALES,APOCYNACEAE,Belonites,succulenta,NULL,29733,S,106039
Plantae,GENTIANALES,ASCLEPIADACEAE,Trichocaulon,alstoni,NULL,6090,S,161467
Plantae,GENTIANALES,ASCLEPIADACEAE,Trichocaulon,annulatum,NULL,6091,S,160440
Plantae,GENTIANALES,ASCLEPIADACEAE,Trichocaulon,pillansii,NULL,6096,S,160442
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,colchiciflora,dalmatica,168942,S,47171
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,citrina,NULL,144665,S,47171
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,lutea,sicula,111365,S,106035
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,alexandrae,NULL,106034,S,47171
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,fischeriana,hissarica,34308,S,31969
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,grandiflora,NULL,34310,S,106036
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,latifolia,NULL,34311,S,106036
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,exscapa,NULL,141247,S,47171
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,lutea,graeca,34314,S,106035
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,lutea,sicula,34315,S,106035
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,fischeriana,hissarica,34309,S,31969
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,spaffordiana,NULL,34317,S,106036
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,stipitata,NULL,34318,S,106036
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,lutea,NULL,34313,S,47171
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,aetnensis,NULL,34301,S,47171
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,aurantiaca,NULL,34302,S,31970
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,macrantha,NULL,34316,S,106036
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,colchiciflora,alexandrae,34304,S,47171
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,dalmatica,NULL,34306,S,47171
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,vernalis,NULL,34319,S,31969
Plantae,LILIALES,AMARYLLIDACEAE,Oporanthus,luteus,NULL,34322,S,31970
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,fischeriana,NULL,34307,S,31969
Plantae,LILIALES,AMARYLLIDACEAE,Sternbergia,colchiciflora,aetnensis,34303,S,47171
Plantae,LILIALES,AMARYLLIDACEAE,Oporanthus,luteus,latifolia,34324,S,31970
Plantae,LILIALES,AMARYLLIDACEAE,Oporanthus,colchicflorus,NULL,34320,S,47171
Plantae,LILIALES,AMARYLLIDACEAE,Oporanthus,fisherianus,NULL,34321,S,31969
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,nivalis,caspius,34247,S,106107
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,nivalis,graecus,151575,S,150609
Plantae,LILIALES,AMARYLLIDACEAE,Oporanthus,luteus,angustifolia,34323,S,31970
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,nivalis,nivalis,149422,S,76435
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,graecus,maximus,149298,S,150609
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,cilicicus,caucasicus,34186,S,170747
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,corcyrensis,NULL,143601,S,170752
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,nivalis,imperati,143290,S,76435
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,maximus,NULL,150612,S,150609
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,imperati,NULL,125060,S,76435
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,sharlokii,NULL,113481,S,76435
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,olgae,NULL,148098,S,170752
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,nivalis,angustifolius,80811,S,170749
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,graecus,NULL,78471,S,150609
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,nivalis,nivalis:nivalis,137603,S,76435
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,latifolius,NULL,76365,S,80781
Plantae,LILIALES,AMARYLLIDACEAE,Galanthus,byzantinus,NULL,76366,S,62326
