ISO-3,LangShort,ISO-1
AFR,Afrikaans,af
AMH,Amharic,am
ARA,Arabic,ar
ASM,Assamese,as
AZE,Azerbaijani,az
BAH,Bahamas Creole English,
BEL,Belarusian,be
BEN,Bengali,bn
BHM,Bathari,
BKM,Kom (Cameroon),
BNG,Benga,
BOD,Tibetan,bo
BUL,Bulgarian,bg
CAT,Catalan,ca
CEB,Cebuano,
CES,Czech,cs
CYM,Welsh,cy
DAN,Danish,da
DEU,German,de
DZO,Dzongkha,dz
ELL,Modern Greek,el
ENG,English,en
EST,Estonian,et
EUS,Basque,
FAO,Faroese,fo
fas,Persian,fa
FIJ,Fijian,fj
FIN,Finnish,fi
FRA,French,fr
FUJ,Ko,
GRN,Guarani,gn
GUJ,Gujarati,gu
HAU,Hausa,ha
HAW,Hawaiian,
HEB,Hebrew,he
HIN,Hindi,hi
HND,Southern Hindko,
HRV,Croatian,
HUN,Hungarian,hu
HUO,Hu,
HYE,Armenian,
IKU,Inuktitut,iu
IND,Indonesian,id
ISL,Icelandic,is
ITA,Italian,it
JPN,Japanese,ja
KAN,Kannada,kn
KAS,Kashmiri,ks
KHM,Central Khmer,km
KIK,Kikuyu,ki
LAV,Latvian,lv
LIT,Lithuanian,lt
MAD,Madurese,
MAL,Malayalam,ml
MAR,Marathi,mr
MAX,North Moluccan Malay,
MKD,Macedonian,mk
MLG,Malagasy,mg
MLT,Maltese,mt
mri,Maori,mi
MSA,Malay,ms
MYA,Burmese,
NEP,Nepali,ne
NLD,Dutch,
NOR,Norwegian,no
ORM,Oromo,om
PAI,Pe,
PAN,Panjabi,pa
PAP,Papiamento,
POL,Polish,pl
POR,Portuguese,pt
RON,Romanian,ro
RUS,Russian,ru
SAN,Sanskrit,sa
SIN,Sinhala,si
SLK,Slovak,sk
SLN,Salinan,
SLV,Slovenian,sl
SMO,Samoan,sm
SOM,Somali,so
SPA,Spanish,es
SQI,Albanian,
SRP,Serbian,sr
SWA,Swahili,sw
SWE,Swedish,sv
TAM,Tamil,ta
TEL,Telugu,te
TGL,Tagalog,tl
THA,Thai,th
TUR,Turkish,tr
UKR,Ukrainian,uk
URD,Urdu,ur
VIE,Vietnamese,vi
VLS,Vlaams,
WOL,Wolof,wo
ZHO,Chinese,
ZLM,Malay (individual language),
