Legacy_CITES_TAXON_CODE,Full Hybrid Name,Hybrid Rank,SpeciesPlusID,Parent,ParentRank,Status
140.11,Eulemur hybrid,SPECIES,2002,Eulemur,GENUS,H
211.05,Callithrix hybrid,SPECIES,2335,Callithrix,GENUS,H
233.05,Ateles hybrid,SPECIES,2712,Ateles,GENUS,H
259.05,Macaca hybrid,SPECIES,1378,Macaca,GENUS,H
263.05,Papio hybrid,SPECIES,1179,Papio,GENUS,H
280.05,Hylobates hybrid,SPECIES,865,Hylobates,GENUS,H
570.05,Canis hybrid,SPECIES,2036,Canis,GENUS,H
585.05,Ursus hybrid,SPECIES,2436,Ursus,GENUS,H
680.1,Felidae hybrid,SPECIES,473,Felidae,FAMILY,H
682.05,Felis hybrid,SPECIES,2333,Felis,GENUS,H
688.8,Leptailurus hybrid,SPECIES,1213,Leptailurus,GENUS,H
691.1,Panthera hybrid,SPECIES,1612,Panthera,GENUS,H
694.05,Prionailurus hybrid,SPECIES,1882,Prionailurus,GENUS,H
780.05,Equus hybrid,SPECIES,732,Equus,GENUS,H
839,Camelidae hybrid,SPECIES,282,Camelidae,FAMILY,H
892.05,Damaliscus hybrid,SPECIES,2681,Damaliscus,GENUS,H
897.05,Oryx hybrid,SPECIES,1447,Oryx,GENUS,H
898.05,Ovis hybrid,SPECIES,1810,Ovis,GENUS,H
1030.05,Spheniscus hybrid,SPECIES,1478,Spheniscus,GENUS,H
1121.05,Eudocimus hybrid,SPECIES,2172,Eudocimus,GENUS,H
1133.01,Phoenicopterus hybrid,SPECIES,857,Phoenicopterus,GENUS,H
1191.05,Accipiter hybrid,SPECIES,773,Accipiter,GENUS,H
1197.03,Aquila hybrid,SPECIES,1842,Aquila,GENUS,H
1202.05,Buteo hybrid,SPECIES,2235,Buteo,GENUS,H
1221.05,Gyps hybrid,SPECIES,1401,Gyps,GENUS,H
1245.05,Milvus hybrid,SPECIES,694,Milvus,GENUS,H
1282.1,Falco hybrid,SPECIES,2566,Falco,GENUS,H
1472.05,Agapornis hybrid,SPECIES,1009,Agapornis,GENUS,H
1474.05,Amazona hybrid,SPECIES,2607,Amazona,GENUS,H
1481.05,Ara hybrid,SPECIES,1889,Ara,GENUS,H
1483.05,Aratinga hybrid,SPECIES,1346,Aratinga,GENUS,H
1491.05,Cacatua hybrid,SPECIES,1521,Cacatua,GENUS,H
1536.05,Pionites hybrid,SPECIES,2175,Pionites,GENUS,H
1539.05,Platycercus hybrid,SPECIES,1661,Platycercus,GENUS,H
1541.05,Poicephalus hybrid,SPECIES,1982,Poicephalus,GENUS,H
1604.05,Bubo hybrid,SPECIES,1140,Bubo,GENUS,H
1640.1,Trochilidae hybrid,SPECIES,204,Trochilidae,FAMILY,H
1910.1,Fringillidae hybrid,SPECIES,495,Fringillidae,FAMILY,H
