Kingdom,ComName,LanDesc,SpcRecID
Animalia,Renard volant de Suwalesi,French,137
Animalia,Signal-winged Acerodon,English,137
Animalia,Sulawesi Flying-fox,English,137
Animalia,Zorro volador de las Célebes,Spanish,137
Animalia,Sulawesi Fruit Bat,English,137
Animalia,Talaud Flying-fox,English,138
Animalia,Zorro volador de Talaud,Spanish,138
Animalia,Talaud Fruit Bat,English,138
Animalia,Roussette de Talaud,French,138
Animalia,Talaud Acerodon,English,138
Animalia,Roussette à couronne dorée,French,139
Animalia,Golden-capped Fruit Bat,English,139
Animalia,Zorro volador filipino,Spanish,139
Animalia,Zorro volador de Calamian,Spanish,140
Animalia,Roussette de Palawan,French,140
Animalia,Palawan Flying-fox,English,140
Animalia,Palawan Fruit Bat,English,140
Animalia,Sunda Fruit Bat,English,142
Animalia,Sunda Flying-fox,English,142
Animalia,Petite roussette de Sunda,French,142
Animalia,Lesser Sunda Flying-fox,English,142
Animalia,Zorro volador de Macklot,Spanish,142
Animalia,Hunting Leopard,English,219
Animalia,Cheetah,English,219
Animalia,Chita,Spanish,219
Animalia,Guepardo,Spanish,219
Animalia,Guépard,French,219
Animalia,Addax,English,512
Animalia,Addax,Spanish,512
Animalia,Addax,French,512
Animalia,Addax à nez tacheté,French,512
Animalia,Antilope blanche,French,512
Animalia,Spotted Paca,English,699
Animalia,Paca,Spanish,699
Animalia,Agouti,French,699
Animalia,Paca,French,699
Animalia,Paca,English,699
Animalia,Giant Panda,English,712
Animalia,Panda gigante,Spanish,712
Animalia,Panda,French,712
Animalia,Panda géant,French,712
Animalia,Red Cat-bear,English,714
Animalia,Lesser Panda,English,714
Animalia,Red Panda,English,714
Animalia,Panda chico,Spanish,714
Animalia,Panda rojo,Spanish,714
Animalia,Petit panda,French,714
Animalia,Panda éclatant,French,714
Animalia,Pequeño panda,Spanish,714
Animalia,Allen's Swamp Monkey,English,865
Animalia,Cercopithèque d'Allen,French,865
Animalia,Hairy-eared Dwarf Lemur,English,868
Animalia,Lémur orejipeludo,Spanish,868
Animalia,Allocèbe,French,868
Animalia,Chirogale aux oreilles poilues,French,868
Animalia,Black-and-red Howling Monkey,English,909
